frame_id,class_name,confidence,x1,y1,x2,y2
0,Car,0.71,1299,516,1357,657
0,Car,0.71,1229,529,1349,662
0,Car,0.71,1301,515,1356,612
1,Car,0.72,1282,514,1349,659
1,Car,0.72,1226,521,1344,662
1,Car,0.60,1640,650,1833,767
1,Car,0.60,1691,665,1826,785
2,Car,0.92,392,428,489,522
2,Car,0.66,1637,623,1812,769
2,Car,0.83,307,565,440,672
2,Car,0.69,1292,509,1340,650
2,Car,0.66,1,808,160,1046
2,Car,0.68,1006,280,1228,432
2,Car,0.69,1220,508,1338,657
3,Car,0.92,386,431,479,522
3,Car,0.63,1672,654,1797,760
3,Car,0.81,1395,618,1542,709
3,Car,0.82,301,568,438,675
3,Car,0.68,1005,276,1227,435
3,Car,0.64,1287,510,1337,608
3,Car,0.64,1217,510,1331,643
3,Car,0.63,1636,643,1798,752
3,Car,0.49,309,791,391,940
3,Car,0.63,1611,660,1775,734
4,Car,0.92,1458,804,1718,982
4,Car,0.84,291,574,433,682
4,Car,0.83,1399,615,1533,703
4,Car,0.70,1647,615,1786,751
4,Car,0.90,377,434,479,529
4,Car,0.59,1218,494,1328,641
4,Car,0.80,532,517,629,601
4,Car,0.59,1266,497,1331,633
4,Car,0.59,1288,495,1334,608
4,Car,0.48,294,800,373,960
5,Car,0.93,1454,792,1691,958
5,Car,0.90,367,437,469,533
5,Car,0.69,1608,620,1768,744
5,Car,0.84,280,580,421,691
5,Car,0.83,1385,608,1530,698
5,Car,0.54,288,831,367,985
5,Car,0.79,531,519,627,605
5,Car,0.55,1219,498,1279,634
5,Car,0.55,1219,498,1324,632
6,Car,0.90,359,445,458,542
6,Car,0.92,1444,777,1679,943
6,Car,0.84,275,588,418,701
6,Car,0.83,1384,598,1517,685
6,Car,0.78,530,525,622,607
6,Car,0.56,270,848,354,1018
6,Car,0.51,1217,498,1266,626
6,Car,0.64,1011,283,1217,414
7,Car,0.93,1421,770,1649,926
7,Car,0.90,354,450,457,544
7,Car,0.87,1589,623,1741,732
7,Car,0.78,525,527,621,620
7,Car,0.84,269,591,406,711
7,Car,0.84,1380,592,1502,675
7,Car,0.48,1215,498,1262,625
8,Car,0.93,1418,760,1634,913
8,Car,0.86,258,594,401,718
8,Car,0.58,1373,589,1496,671
8,Car,0.80,344,459,443,543
8,Car,0.77,522,528,616,621
8,Car,0.83,1581,617,1732,723
8,Car,0.58,1208,493,1269,619
8,Car,0.80,339,447,434,554
9,Car,0.81,335,455,443,549
9,Car,0.93,1406,744,1612,901
9,Car,0.86,242,598,396,729
9,Car,0.81,520,530,608,635
9,Car,0.70,1368,585,1487,665
9,Car,0.70,1204,495,1271,613
9,Car,0.78,1596,596,1716,725
9,Car,0.45,489,371,558,429
9,Car,0.70,1204,489,1300,614
9,Car,0.45,612,332,669,399
10,Car,0.82,324,464,430,554
10,Car,0.89,1391,731,1597,885
10,Car,0.87,236,600,391,739
10,Car,0.83,514,536,602,644
10,Car,0.70,1363,580,1474,661
10,Car,0.70,1205,493,1271,611
10,Car,0.67,1602,599,1699,717
10,Car,0.46,613,338,667,400
10,Car,0.67,1568,586,1704,713
11,Car,0.90,1391,724,1581,868
11,Car,0.82,315,477,425,562
11,Car,0.69,1360,577,1474,651
11,Car,0.84,507,549,602,644
11,Car,0.64,1563,581,1695,709
11,Car,0.69,1201,489,1267,611
11,Car,0.47,608,334,667,402
12,Car,0.84,306,478,420,566
12,Car,0.91,1378,716,1560,863
12,Car,0.63,1576,589,1683,707
12,Car,0.84,501,555,599,651
12,Car,0.72,1360,579,1468,654
12,Car,0.72,1200,500,1269,605
12,Car,0.52,604,329,662,404
12,Car,0.52,489,372,550,436
12,Car,0.63,1526,590,1681,703
13,Car,0.91,1361,689,1542,848
13,Car,0.88,202,633,366,771
13,Car,0.93,298,483,416,566
13,Car,0.68,1564,598,1666,702
13,Car,0.73,1352,574,1459,646
13,Car,0.73,1196,493,1269,600
13,Car,0.81,492,559,597,656
13,Car,0.54,604,330,663,403
13,Car,0.68,1524,577,1669,700
14,Car,0.91,286,484,410,577
14,Car,0.90,1354,653,1530,834
14,Car,0.74,1340,566,1452,641
14,Car,0.68,1520,558,1659,695
14,Car,0.74,1195,497,1273,597
14,Car,0.82,194,644,364,781
14,Car,0.66,1802,884,1920,1057
14,Car,0.76,486,560,589,670
14,Car,0.54,602,334,659,409
14,Car,0.73,482,376,544,436
15,Car,0.90,279,488,401,582
15,Car,0.82,178,652,353,794
15,Car,0.66,1515,557,1649,686
15,Car,0.74,470,573,592,675
15,Car,0.73,1333,563,1443,639
15,Car,0.73,1193,500,1266,592
15,Car,0.66,1779,899,1917,1063
15,Car,0.54,601,338,658,412
15,Car,0.66,478,379,545,442
16,Car,0.91,269,488,389,589
16,Car,0.83,161,664,343,804
16,Car,0.73,463,587,589,678
16,Car,0.70,1504,553,1643,679
16,Car,0.68,1754,881,1919,1067
16,Car,0.68,1342,559,1434,639
16,Car,0.68,1188,498,1260,587
17,Car,0.90,259,493,382,594
17,Car,0.70,1520,556,1627,676
17,Car,0.79,150,670,333,822
17,Car,0.64,1741,869,1920,1043
17,Car,0.69,458,589,584,692
17,Car,0.67,1321,550,1431,638
17,Car,0.64,475,381,543,446
17,Car,0.51,597,339,660,415
17,Car,0.58,1330,655,1491,800
18,Car,0.92,243,501,372,599
18,Car,0.66,1324,553,1421,623
18,Car,0.74,1510,554,1622,670
18,Car,0.59,1313,625,1478,792
18,Car,0.58,470,380,536,449
18,Car,0.51,595,333,659,417
18,Car,0.66,457,593,574,704
19,Car,0.93,234,512,361,603
19,Car,0.76,1500,558,1612,663
19,Car,0.69,456,595,583,713
19,Car,0.66,1319,546,1414,618
19,Car,0.59,1315,633,1465,781
19,Car,0.50,592,338,655,419
19,Car,0.57,1179,471,1263,578
20,Car,0.93,221,515,353,615
20,Car,0.64,1302,631,1459,777
20,Car,0.84,1682,843,1920,993
20,Car,0.71,453,597,578,721
20,Car,0.84,97,703,294,862
20,Car,0.77,1493,565,1601,657
20,Car,0.67,1310,542,1410,621
20,Car,0.51,455,382,531,453
20,Car,0.54,1175,465,1258,576
20,Car,0.48,589,338,654,419
21,Car,0.93,209,517,349,626
21,Car,0.66,1298,644,1448,760
21,Car,0.71,443,605,571,732
21,Car,0.82,1667,832,1904,976
21,Car,0.82,87,715,292,876
21,Car,0.67,1308,540,1401,615
21,Car,0.69,1501,558,1593,648
21,Car,0.54,1176,462,1264,574
21,Car,0.69,1466,566,1592,643
21,Car,0.52,453,381,526,455
21,Car,0.47,587,341,649,418
22,Car,0.92,198,519,337,632
22,Car,0.83,1650,813,1878,957
22,Car,0.69,69,722,280,899
22,Car,0.64,1503,562,1587,642
22,Car,0.68,1302,539,1396,608
22,Car,0.70,1297,638,1441,752
22,Car,0.55,451,383,524,458
22,Car,0.64,1462,566,1586,642
22,Car,0.48,586,342,646,421
23,Car,0.85,1632,802,1858,943
23,Car,0.90,187,523,327,637
23,Car,0.64,1459,548,1580,638
23,Car,0.70,54,731,267,912
23,Car,0.56,447,390,517,457
23,Car,0.46,584,341,645,423
24,Car,0.85,1627,788,1833,930
24,Car,0.89,170,524,322,638
24,Car,0.68,1453,518,1571,635
24,Car,0.60,422,625,554,767
24,Car,0.72,36,742,259,931
24,Car,0.86,441,389,516,458
24,Car,0.48,578,343,639,423
24,Car,0.64,1300,530,1387,605
25,Car,0.86,1610,776,1818,916
25,Car,0.76,9,758,252,941
25,Car,0.68,1442,558,1563,630
25,Car,0.83,438,391,513,458
25,Car,0.51,567,342,638,425
25,Car,0.60,415,634,551,781
25,Car,0.60,1303,525,1381,598
25,Car,0.68,1438,535,1564,626
26,Car,0.66,1427,536,1548,628
26,Car,0.79,409,654,549,787
26,Car,0.86,1594,775,1794,899
26,Car,0.76,2,767,234,967
26,Car,0.79,438,393,506,462
26,Car,0.57,1296,528,1379,722
26,Car,0.66,1429,503,1553,627
27,Car,0.92,1578,760,1776,889
27,Car,0.84,125,551,284,672
27,Car,0.64,1427,525,1546,621
27,Car,0.75,435,395,504,463
27,Car,0.75,1,780,228,993
27,Car,0.52,1301,521,1369,614
27,Car,0.77,392,669,542,806
27,Car,0.52,1298,522,1375,721
27,Car,0.51,564,355,631,422
28,Car,0.92,1568,751,1757,874
28,Car,0.85,111,554,278,678
28,Car,0.64,1426,515,1547,614
28,Car,0.70,430,398,501,466
28,Car,0.56,1297,530,1364,714
28,Car,0.64,1859,673,1920,773
28,Car,0.50,564,354,628,423
28,Car,0.69,388,674,527,822
28,Car,0.69,1,811,206,1012
29,Car,0.90,1559,738,1740,866
29,Car,0.86,95,558,264,690
29,Car,0.70,1420,519,1530,608
