frame_id,class_name,confidence,x1,y1,x2,y2
0,Car,0.95,407,434,495,502
0,Car,0.95,1430,637,1576,707
0,Car,0.88,1201,435,1261,479
0,Car,0.86,530,369,581,413
0,Car,0.84,639,329,679,382
0,Car,0.84,1644,677,1851,787
0,Car,0.83,557,499,638,568
0,Motorcycle,0.83,358,754,420,887
0,Car,0.80,1300,519,1352,583
0,Car,0.78,0,698,70,855
0,Car,0.78,331,556,451,646
0,Car,0.78,1699,624,1755,680
0,Car,0.78,617,664,998,1080
0,Car,0.71,1533,854,1579,972
0,Car,0.65,1300,582,1341,657
0,Car,0.62,1233,580,1267,652
0,Car,0.56,1179,347,1211,376
0,Car,0.54,800,303,825,323
0,Car,0.53,1297,918,1338,966
0,Car,0.51,1164,377,1191,428
0,Motorcycle,0.46,95,0,143,50
0,Car,0.40,1774,612,1837,627
0,Motorcycle,0.38,450,387,480,416
0,Car,0.37,1176,301,1202,317
0,Car,0.29,347,399,406,425
0,Car,0.28,52,519,79,541
0,Car,0.26,291,66,320,80
1,Car,0.95,1422,631,1565,706
1,Car,0.93,400,436,490,505
1,Car,0.90,1199,432,1257,478
1,Car,0.88,0,814,177,998
1,Car,0.87,552,503,636,571
1,Car,0.86,1633,670,1829,776
1,Car,0.86,636,329,676,383
1,Car,0.85,614,664,997,1080
1,Car,0.83,319,561,443,656
1,Motorcycle,0.83,348,802,409,905
1,Car,0.82,1301,517,1346,578
1,Car,0.81,527,372,578,413
1,Car,0.76,1517,849,1580,983
1,Car,0.74,1229,576,1266,647
1,Car,0.69,1300,578,1336,653
1,Car,0.69,1178,347,1209,375
1,Car,0.51,1690,616,1748,673
1,Car,0.42,1297,919,1340,966
1,Car,0.34,1144,388,1189,424
1,Car,0.33,798,302,823,325
1,Car,0.33,1518,454,1544,473
1,Car,0.32,1302,419,1313,458
1,Car,0.31,1176,299,1212,319
1,Car,0.30,331,400,398,426
1,Car,0.26,1773,612,1837,627
1,Motorcycle,0.25,446,385,476,416
2,Car,0.96,1415,624,1555,712
2,Car,0.93,392,440,483,509
2,Motorcycle,0.90,335,775,398,930
2,Car,0.90,1621,664,1815,769
2,Car,0.87,608,664,997,1080
2,Car,0.86,1496,844,1777,996
2,Car,0.86,1197,429,1258,474
2,Car,0.85,0,831,162,1031
2,Car,0.82,1301,513,1340,573
2,Car,0.81,541,507,632,577
2,Car,0.76,303,566,440,662
2,Car,0.73,1225,572,1266,653
2,Car,0.71,523,372,575,415
2,Car,0.70,634,334,674,386
2,Car,0.68,0,738,28,826
2,Car,0.68,1178,346,1208,374
2,Car,0.67,1681,613,1737,667
2,Car,0.65,1299,578,1329,649
2,Car,0.57,1144,384,1187,423
2,Car,0.38,1063,382,1106,417
2,Car,0.36,6,531,61,558
2,Car,0.36,796,302,822,325
2,Car,0.31,1176,302,1204,317
2,Car,0.30,1296,920,1343,969
2,Car,0.28,443,386,472,424
2,Car,0.27,50,522,76,540
2,Car,0.25,346,400,404,422
3,Car,0.95,1407,621,1543,707
3,Motorcycle,0.94,321,794,388,949
3,Truck,0.88,633,332,674,387
3,Car,0.88,1481,829,1748,993
3,Car,0.88,1195,427,1256,473
3,Car,0.87,384,443,477,513
3,Car,0.84,607,664,997,1080
3,Car,0.83,1607,664,1799,762
3,Car,0.80,1301,511,1337,572
3,Car,0.80,532,511,628,583
3,Car,0.79,298,582,433,670
3,Car,0.75,0,847,147,1057
3,Car,0.71,520,375,573,416
3,Car,0.67,1220,568,1265,641
3,Car,0.52,1177,346,1207,373
3,Motorcycle,0.48,440,387,467,424
3,Car,0.45,1673,603,1728,663
3,Car,0.40,1300,579,1322,646
3,Car,0.40,1296,920,1343,969
3,Car,0.40,1164,377,1186,424
3,Car,0.37,1176,302,1204,316
3,Car,0.33,6,531,61,558
3,Car,0.29,346,400,403,422
3,Car,0.29,1026,291,1061,333
3,Car,0.28,50,522,76,540
3,Car,0.25,1518,455,1542,473
4,Car,0.95,1400,616,1535,702
4,Car,0.94,370,446,471,518
4,Car,0.91,1194,423,1254,473
4,Motorcycle,0.90,308,860,375,972
4,Car,0.89,1598,664,1786,751
4,Car,0.87,530,515,626,586
4,Car,0.87,1504,814,1722,977
4,Car,0.87,517,377,571,417
4,Car,0.87,1666,608,1719,659
4,Car,0.85,292,582,430,678
4,Car,0.82,602,664,997,1080
4,Truck,0.80,629,334,673,388
4,Car,0.79,1217,582,1266,637
4,Car,0.77,1300,508,1330,569
4,Car,0.68,0,869,129,1079
4,Car,0.58,1141,384,1185,421
4,Car,0.47,794,307,821,327
4,Car,0.45,1176,302,1206,316
4,Car,0.38,1176,341,1207,373
4,Car,0.37,1028,292,1059,336
4,Car,0.34,1681,587,1709,608
4,Car,0.33,1299,582,1318,638
4,Car,0.31,6,531,62,558
4,Car,0.31,1297,919,1337,966
4,Car,0.30,330,400,398,427
4,Car,0.28,281,66,320,81
4,Car,0.26,50,522,76,540
5,Motorcycle,0.93,293,832,360,995
5,Car,0.92,1191,421,1250,470
5,Car,0.92,368,447,465,522
5,Car,0.90,1392,610,1527,690
5,Car,0.89,628,339,670,389
5,Car,0.89,532,520,624,595
5,Car,0.88,291,586,421,687
5,Car,0.88,1590,664,1773,744
5,Car,0.87,1211,582,1266,632
5,Car,0.86,515,378,569,419
5,Car,0.85,1455,800,1701,957
5,Car,0.83,607,664,997,1080
5,Car,0.80,1660,597,1710,653
5,Car,0.76,1300,508,1326,565
5,Car,0.69,0,886,114,1079
5,Car,0.58,1139,383,1184,419
5,Car,0.57,1240,505,1268,556
5,Car,0.38,430,393,460,428
5,Car,0.35,1175,342,1207,372
5,Car,0.31,1296,919,1343,969
5,Car,0.30,345,400,403,423
5,Car,0.26,6,531,62,558
6,Car,0.95,1190,421,1249,469
6,Car,0.93,1387,605,1516,684
6,Car,0.90,361,449,459,528
6,Motorcycle,0.89,276,850,352,1026
6,Car,0.89,1208,555,1266,626
6,Car,0.87,1582,664,1759,739
6,Car,0.87,529,523,620,599
6,Car,0.83,277,591,415,694
6,Car,0.83,612,664,997,1080
6,Car,0.83,512,380,565,421
6,Bus,0.82,1455,786,1677,939
6,Car,0.81,625,336,668,391
6,Car,0.76,1653,596,1703,649
6,Car,0.67,1300,509,1321,559
6,Car,0.55,0,903,92,1079
6,Car,0.54,427,392,455,431
6,Car,0.41,1235,502,1267,558
6,Car,0.39,290,67,320,81
6,Car,0.39,1296,919,1343,969
6,Car,0.36,1139,383,1182,417
6,Car,0.32,346,400,403,422
6,Car,0.28,1175,342,1207,372
6,Car,0.27,6,531,62,558
6,Car,0.25,873,372,920,707
6,Car,0.25,1670,583,1694,600
7,Car,0.95,1379,602,1507,679
7,Car,0.94,353,455,453,534
7,Car,0.91,1189,421,1244,467
7,Car,0.89,524,528,618,603
7,Car,0.85,1206,553,1266,619
7,Car,0.84,1568,641,1744,730
7,Car,0.83,508,380,562,422
7,Motorcycle,0.82,258,910,340,997
7,Car,0.82,613,664,997,1080
7,Car,0.82,620,334,666,391
7,Car,0.80,0,925,73,1078
7,Bus,0.77,291,594,407,704
7,Car,0.73,424,393,453,433
7,Car,0.65,1455,777,1660,924
7,Car,0.64,1644,586,1694,643
7,Car,0.53,1137,380,1180,416
7,Car,0.46,1300,507,1317,556
7,Car,0.42,291,67,320,81
7,Car,0.40,1297,918,1340,967
7,Car,0.32,1232,498,1266,552
7,Car,0.32,1174,342,1206,371
7,Car,0.31,344,400,406,422
7,Car,0.26,6,531,62,558
8,Car,0.95,345,460,445,538
8,Car,0.95,1186,422,1243,466
8,Car,0.92,1373,595,1498,674
8,Car,0.86,520,531,614,613
8,Car,0.86,618,336,664,392
8,Car,0.86,259,594,400,714
8,Motorcycle,0.84,245,948,323,1074
8,Car,0.83,611,664,997,1080
8,Car,0.82,1558,640,1732,705
8,Car,0.80,504,381,560,424
8,Bus,0.78,1411,767,1580,907
8,Car,0.77,1229,495,1268,550
8,Car,0.75,0,945,53,1078
8,Car,0.67,1201,550,1266,615
