frame_id,class_name,confidence,x1,y1,x2,y2
0,Car,0.95,407,434,495,502
0,Car,0.95,1430,637,1576,707
0,Car,0.88,1201,435,1261,479
0,Car,0.86,530,369,581,413
0,Car,0.84,639,329,679,382
0,Car,0.84,1644,677,1851,787
0,Car,0.83,557,499,638,568
0,Motorcycle,0.83,358,754,420,887
0,Car,0.80,1300,519,1352,583
0,Car,0.78,0,698,70,855
0,Car,0.78,331,556,451,646
0,Car,0.78,1699,624,1755,680
0,Car,0.78,617,664,998,1080
0,Car,0.71,1533,854,1579,972
0,Car,0.65,1300,582,1341,657
0,Car,0.62,1233,580,1267,652
0,Car,0.56,1179,347,1211,376
0,Car,0.54,800,303,825,323
0,Car,0.53,1297,918,1338,966
0,Car,0.51,1164,377,1191,428
0,Motorcycle,0.46,95,0,143,50
0,Car,0.40,1774,612,1837,627
0,Motorcycle,0.38,450,387,480,416
0,Car,0.37,1176,301,1202,317
0,Car,0.29,347,399,406,425
0,Car,0.28,52,519,79,541
0,Car,0.26,291,66,320,80
5,Motorcycle,0.93,293,832,360,995
5,Car,0.92,1191,421,1250,470
5,Car,0.92,368,447,465,522
5,Car,0.90,1392,610,1527,690
5,Car,0.89,628,339,670,389
5,Car,0.89,532,520,624,595
5,Car,0.88,291,586,421,687
5,Car,0.88,1590,664,1773,744
5,Car,0.87,1211,582,1266,632
5,Car,0.86,515,378,569,419
5,Car,0.85,1455,800,1701,957
5,Car,0.83,607,664,997,1080
5,Car,0.80,1660,597,1710,653
5,Car,0.76,1300,508,1326,565
5,Car,0.69,0,886,114,1079
5,Car,0.58,1139,383,1184,419
5,Car,0.57,1240,505,1268,556
5,Car,0.38,430,393,460,428
5,Car,0.35,1175,342,1207,372
5,Car,0.31,1296,919,1343,969
5,Car,0.30,345,400,403,423
5,Car,0.26,6,531,62,558
10,Car,0.94,326,467,432,548
10,Car,0.94,1360,588,1480,663
10,Car,0.92,1184,419,1238,462
10,Car,0.88,498,382,554,426
10,Car,0.88,511,547,607,623
10,Car,0.85,603,664,998,1080
10,Car,0.85,1222,494,1268,544
10,Bus,0.85,291,621,388,732
10,Car,0.84,1541,623,1708,711
10,Car,0.83,1389,738,1580,882
10,Car,0.82,615,339,660,395
10,Car,0.81,1194,539,1267,607
10,Motorcycle,0.67,204,983,294,1080
10,Car,0.57,1626,584,1673,632
10,Car,0.48,1174,342,1203,369
10,Car,0.39,1895,962,1919,1080
10,Motorcycle,0.39,223,946,283,998
10,Car,0.35,1059,373,1100,405
10,Car,0.31,343,401,408,425
10,Car,0.30,1137,377,1175,414
10,Car,0.29,873,374,919,707
10,Car,0.29,410,402,441,440
15,Car,0.93,278,489,398,576
15,Car,0.93,1592,566,1637,615
15,Car,0.91,388,408,420,449
15,Car,0.90,1333,566,1442,637
15,Car,0.90,483,391,540,435
15,Car,0.90,291,664,348,794
15,Car,0.89,1208,476,1268,532
15,Car,0.88,484,576,591,664
15,Car,0.86,1455,696,1520,819
15,Car,0.85,1177,410,1230,454
15,Car,0.85,1180,524,1264,589
15,Car,0.82,600,664,998,1080
15,Car,0.79,1778,881,1870,998
15,Car,0.78,604,341,655,405
15,Car,0.66,1501,600,1580,679
15,Car,0.47,1171,343,1199,367
15,Car,0.32,288,68,322,83
15,Car,0.28,873,365,923,707
15,Car,0.25,1516,456,1543,474
20,Car,0.94,218,511,357,609
20,Car,0.92,1566,552,1604,605
20,Car,0.91,1193,467,1267,520
20,Car,0.91,609,339,645,370
20,Car,0.91,1465,582,1580,652
20,Car,0.90,463,399,526,445
20,Car,0.89,1164,509,1243,572
20,Car,0.88,1682,843,1870,988
20,Car,0.86,1299,664,1465,767
20,Car,0.84,1308,549,1408,613
20,Car,0.81,591,369,642,415
20,Car,0.80,601,664,998,1080
20,Car,0.79,101,706,304,858
20,Motorcycle,0.75,361,418,396,463
20,Car,0.74,1167,406,1219,447
20,Car,0.68,1168,340,1197,364
20,Car,0.68,449,601,573,712
20,Bus,0.62,1207,304,1241,343
20,Car,0.48,1131,364,1169,402
20,Car,0.46,745,345,782,373
20,Car,0.36,107,492,159,517
20,Car,0.35,1129,324,1150,343
20,Car,0.28,873,367,924,707
20,Car,0.28,285,68,322,83
20,Car,0.28,436,378,473,392
20,Car,0.27,51,519,86,541
25,Car,0.90,1602,787,1825,915
25,Car,0.88,159,541,307,650
25,Car,0.86,1299,530,1378,592
25,Car,0.85,1431,560,1555,628
25,Car,0.84,578,378,628,421
25,Car,0.84,1177,456,1246,505
25,Car,0.83,1163,401,1211,440
25,Car,0.82,1537,532,1578,587
25,Car,0.82,1152,494,1225,554
25,Car,0.81,444,408,509,455
25,Car,0.79,610,664,998,1080
25,Car,0.79,599,341,636,374
25,Car,0.78,1299,664,1403,724
25,Car,0.74,9,684,249,948
25,Car,0.72,736,347,773,380
25,Car,0.67,415,664,548,768
25,Car,0.65,1167,333,1196,360
25,Car,0.65,1520,456,1542,474
25,Car,0.37,1297,921,1342,970
25,Car,0.35,276,430,333,451
25,Motorcycle,0.34,337,429,372,475
25,Car,0.34,873,373,920,707
25,Car,0.27,1127,362,1161,396
30,Car,0.93,563,386,617,431
30,Car,0.92,1167,446,1232,496
30,Car,0.92,424,415,492,466
30,Car,0.89,1537,740,1729,851
30,Car,0.88,1402,543,1515,607
30,Car,0.87,78,583,250,697
30,Car,0.85,1157,394,1204,432
30,Car,0.83,1298,595,1357,686
30,Car,0.83,602,664,998,1080
30,Car,0.81,1511,525,1551,575
30,Car,0.81,1823,674,1871,769
30,Car,0.80,0,836,183,1059
30,Car,0.79,1142,484,1209,540
30,Car,0.78,1227,596,1266,670
30,Car,0.75,1300,515,1350,574
30,Car,0.75,729,354,767,386
30,Car,0.69,1867,822,1920,907
30,Car,0.65,1124,357,1159,391
30,Car,0.63,590,341,628,377
30,Car,0.60,1165,333,1192,357
30,Car,0.58,367,704,519,839
30,Car,0.51,306,440,344,490
30,Car,0.44,326,404,404,432
30,Car,0.33,873,372,920,707
30,Motorcycle,0.29,95,0,143,52
30,Car,0.27,285,69,322,84
35,Car,0.94,547,396,603,441
35,Car,0.93,1374,524,1481,585
35,Car,0.91,1202,582,1266,655
35,Car,0.91,0,616,184,758
35,Car,0.90,580,350,619,382
35,Car,0.90,1484,698,1580,801
35,Car,0.88,403,426,474,477
35,Car,0.86,606,664,998,1080
35,Car,0.84,0,926,96,1079
35,Car,0.82,1130,473,1193,525
35,Car,0.76,1746,646,1805,720
35,Car,0.75,308,763,415,939
35,Car,0.74,1489,515,1525,569
35,Car,0.73,1157,435,1216,483
35,Car,0.71,1780,779,1870,888
35,Car,0.69,1300,505,1326,558
35,Car,0.68,1243,500,1267,547
35,Car,0.61,326,404,393,431
35,Car,0.50,291,452,313,505
35,Car,0.47,1297,586,1320,650
35,Car,0.47,720,360,760,393
35,Car,0.46,1163,329,1189,355
35,Car,0.39,5,531,61,561
35,Car,0.36,1153,391,1195,426
35,Car,0.33,873,363,920,707
35,Motorcycle,0.26,1232,382,1247,414
40,Car,0.92,1351,509,1451,568
40,Car,0.92,528,408,588,455
40,Car,0.90,379,434,455,491
40,Car,0.90,711,364,753,401
40,Car,0.89,1431,667,1580,757
40,Car,0.88,599,664,997,1080
40,Car,0.87,568,353,609,388
40,Car,0.86,0,664,106,836
40,Motorcycle,0.85,1467,505,1501,557
40,Car,0.80,291,844,450,998
40,Car,0.80,1121,460,1177,512
40,Motorcycle,0.77,1680,646,1733,687
40,Car,0.75,1148,429,1205,473
40,Car,0.75,1227,487,1266,540
40,Car,0.72,1179,546,1266,627
40,Car,0.61,1706,678,1870,854
40,Car,0.52,736,326,769,353
40,Car,0.50,5,531,59,560
40,Car,0.48,330,401,396,429
40,Motorcycle,0.36,237,471,281,523
40,Car,0.32,873,350,922,707
40,Car,0.28,1694,597,1721,620
40,Car,0.28,872,211,912,236
45,Car,0.95,1393,633,1533,706
45,Car,0.93,353,446,433,505
45,Car,0.92,509,417,574,470
45,Car,0.91,1160,528,1257,603
